Ano,Município de residência,Distância média,Total de perícias
2019,Crato,297.25,4
2019,Crateús,284.33,2
2019,Tauá,243.37,6
2019,Solonópole,225.69,1
2019,Milhã,218.53,1
2019,Jaguaribe,215.22,8
2019,Senador Pompeu,214.31,4
2019,Mombaça,213.78,2
2019,Fortaleza,207.1,20
2019,Pedra Branca,205.96,7
2020,Crateús,228.11,55
2020,Jaguaribe,180.91,142
2020,Sobral,180.74,88
2020,Senador Pompeu,178.91,77
2020,Parambu,178.0,179
2020,Boa Viagem,172.6,696
2020,Tauá,162.22,377
2020,Arneiroz,147.14,18
2020,Jaguaretama,143.26,103
2020,Alto Santo,137.98,90
2021,Parambu,249.98,499
2021,Crateús,229.0,265
2021,Jaguaribe,205.16,416
2021,Senador Pompeu,201.04,122
2021,Tauá,195.93,606
2021,Quiterianópolis,191.97,150
2021,Arneiroz,187.01,48
2021,Novo Oriente,184.26,295
2021,Boa Viagem,180.1,1347
2021,Jaguaribara,162.3,149
2022,Parambu,271.13,635
2022,Crateús,244.08,428
2022,Quiterianópolis,227.58,211
2022,Tauá,215.17,833
2022,Novo Oriente,213.39,412
2022,Jaguaribe,206.08,502
2022,Senador Pompeu,205.28,225
2022,Arneiroz,198.8,74
2022,Boa Viagem,189.38,1689
2022,Iracema,179.09,248
2023,Parambu,270.27,336
2023,Crateús,246.58,300
2023,Quiterianópolis,227.69,127
2023,Tauá,221.63,436
2023,Senador Pompeu,214.81,153
2023,Jaguaribe,208.0,323
2023,Novo Oriente,203.46,216
2023,Catarina,186.93,62
2023,Boa Viagem,186.46,1056
2023,Arneiroz,186.42,44
2024,Parambu,246.14,819
2024,Tauá,210.16,654
2024,Novo Oriente,197.08,374
2024,Quiterianópolis,193.44,319
2024,Crateús,188.01,921
2024,Senador Pompeu,187.26,357
2024,Boa Viagem,186.26,1257
2024,Poranga,178.05,156
2024,Arneiroz,170.92,87
2024,Independência,169.57,405
2025,Parambu,212.89,1499
2025,Crateús,185.09,1515
2025,Tauá,181.76,1146
2025,Novo Oriente,179.6,750
2025,Poranga,175.27,303
2025,Itaiçaba,160.66,475
2025,Senador Pompeu,158.76,580
2025,Nova Russas,158.2,860
2025,Quiterianópolis,154.26,533
2025,Jijoca de Jericoacoara,152.5,594
